[Fri Oct 21 12:17:59.624689 2022] [php:warn] [pid 14112:tid 1864] [client 127.0.0.1:49990] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:00.406641 2022] [php:warn] [pid 14112:tid 1864] [client 127.0.0.1:49990] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:00.653670 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:01.077098 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:01.347022 2022] [php:warn] [pid 14112:tid 1876] [client 127.0.0.1:49988] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:01.635582 2022] [php:warn] [pid 14112:tid 1876] [client 127.0.0.1:49988] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:01.909556 2022] [php:warn] [pid 14112:tid 1880] [client 127.0.0.1:49987] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:02.189751 2022] [php:warn] [pid 14112:tid 1880] [client 127.0.0.1:49987] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:02.482000 2022] [php:warn] [pid 14112:tid 1892] [client 127.0.0.1:49983] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:02.751700 2022] [php:warn] [pid 14112:tid 1892] [client 127.0.0.1:49983] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:03.016821 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:03.374010 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:03.605915 2022] [php:warn] [pid 14112:tid 1864] [client 127.0.0.1:49990] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:03.952507 2022] [php:warn] [pid 14112:tid 1864] [client 127.0.0.1:49990] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:04.233329 2022] [php:warn] [pid 14112:tid 1876] [client 127.0.0.1:49988] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:04.653915 2022] [php:warn] [pid 14112:tid 1876] [client 127.0.0.1:49988] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:04.914790 2022] [php:warn] [pid 14112:tid 1868] [client 127.0.0.1:49989] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:05.314552 2022] [php:warn] [pid 14112:tid 1868] [client 127.0.0.1:49989] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:05.568963 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Fri Oct 21 12:18:05.938651 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21
[Fri Oct 21 12:18:06.211745 2022] [php:warn] [pid 14112:tid 1888] [client 127.0.0.1:49982] PHP Warning:  Undefined variable $homelink in E:\\allarstudio\\vacationurban\\backend\\config\\main.php on line 21, referer: http://dashboard.vacationurban.test/
[Sat Oct 22 10:48:33.566130 2022] [php:warn] [pid 8924:tid 1904] [client 127.0.0.1:51066] PHP Warning:  POST Content-Length of 158334023 bytes exceeds the limit of 41943040 bytes in Unknown on line 0, referer: http://dashboard.vacationtoday.prod/roxymce/default?type=image&input=mceu_110-inp&value=
[Sun Sep 17 18:28:29.402602 2023] [php:error] [pid 15628:tid 1980] [client 127.0.0.1:64124] PHP Fatal error:  Cannot redefine class constant frontend\\controllers\\RecruitmentsController::ABOUT in E:\\allarstudio\\vacationurban-project\\vacationurban_v1a\\frontend\\controllers\\RecruitmentsController.php on line 24, referer: http://vacationurban_v1a.prod/recruitments/
[Sun Dec 17 19:01:09.028916 2023] [php:warn] [pid 18704:tid 1996] [client 127.0.0.1:52821] PHP Warning:  require(E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer/../symfony/polyfill-php80/bootstrap.php): Failed to open stream: No such file or directory in E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer\\autoload_real.php on line 55
[Sun Dec 17 19:01:09.029479 2023] [php:error] [pid 18704:tid 1996] [client 127.0.0.1:52821] PHP Fatal error:  Uncaught Error: Failed opening required 'E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer/../symfony/polyfill-php80/bootstrap.php' (include_path='E:\\xampp\\php\\PEAR') in E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer\\autoload_real.php:55\nStack trace:\n#0 E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer\\autoload_real.php(38): composerRequire03cf9a4e12a3ba59c667c11d03155fcd('a4a119a56e50fbb...', 'E:\\\\allarstudio\\\\...')\n#1 E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\autoload.php(25): ComposerAutoloaderInit03cf9a4e12a3ba59c667c11d03155fcd::getLoader()\n#2 E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\web\\index.php(6): require('E:\\\\allarstudio\\\\...')\n#3 {main}\n  thrown in E:\\allarstudio\\project_sekolah\\web_sekolah\\vendor\\composer\\autoload_real.php on line 55
[Tue Jan 23 08:34:22.336834 2024] [php:error] [pid 9600:tid 1988] [client 127.0.0.1:54907] PHP Fatal error:  Declaration of frontend\\controllers\\SiteController::beforeAction() must be compatible with yii\\web\\Controller::beforeAction($action) in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\controllers\\SiteController.php on line 115
[Tue Jan 23 08:35:16.511789 2024] [php:error] [pid 9600:tid 1988] [client 127.0.0.1:54967] PHP Fatal error:  Declaration of frontend\\controllers\\SiteController::beforeAction() must be compatible with yii\\web\\Controller::beforeAction($action) in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\controllers\\SiteController.php on line 115
[Tue Jan 23 10:11:02.874678 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "visimisi" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 44, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.962175 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.963267 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.963267 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "sejarah" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 45, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.963267 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.963267 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.963267 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "ketenagaan" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 46, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.964177 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.985521 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.985521 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "peserta_didik" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 47, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "kosp" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 48, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.986389 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "kurtilas" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 49, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.987984 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.987984 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.987984 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "ekskul" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 50, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.988504 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.988504 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.988504 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "p_lima" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 51, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.989477 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.989477 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.989477 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "pengumuman" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 52, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "berita" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 53, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 86, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.990017 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Undefined array key "sambutan" in E:\\allarstudio\\project_sekolah\\web_sekolah\\frontend\\views\\layouts\\main.php on line 54, referer: http://web_sekolah.prod/berita/
[Tue Jan 23 10:11:02.991182 2024] [php:warn] [pid 9600:tid 1972] [client 127.0.0.1:57801] PHP Warning:  Attempt to read property "id" on null in E:\\allarstudio\\project_sekolah\\web_sekolah\\common\\components\\ArticleAttribute.php on line 85, referer: http://web_sekolah.prod/berita/
